############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
0;	1.042022725398;	-0.193888411862;	0.028210307730;	1.155986048725;	62.700782023735
1;	1.017980057277;	-0.084232349338;	-0.160053088264;	0.907497414676;	Penetrable-detFmicro
2;	1.032629891575;	0.050732426471;	0.182070504924;	1.182994830322;	74.970289494123
3;	1.071182558359;	0.042787103408;	0.097362650526;	0.850729737698;	Penetrable-detFmicro
4;	1.131255135230;	0.140573888897;	0.163826754859;	1.104076883139;	85.006156795752
5;	1.103250118654;	-0.045418579613;	0.188530995951;	0.892066240681;	25.746933311661
6;	1.137494527706;	0.037508249047;	0.127266091583;	1.175084980622;	118.379302466129
7;	1.109089753361;	-0.108692429511;	0.088849952752;	0.801077011757;	59.480198740696
8;	0.931195729104;	0.042251095013;	-0.082904479894;	1.193251825190;	43.395777727803
9;	0.968793508091;	0.190337760373;	-0.134541755364;	1.129362823737;	28.705733233161
10;	0.888311335231;	0.183931410632;	-0.052563359379;	1.161907247396;	38.834057670117
11;	0.834975963699;	-0.116248908912;	-0.184695845679;	1.069495993856;	Penetrable-detFmicro
12;	0.825944071916;	-0.151906365515;	-0.046762355912;	0.857092680741;	Penetrable-detFmicro
13;	0.950121203665;	0.064392681822;	0.170162994380;	1.037441883113;	20.686185812712
14;	0.869854907256;	-0.158249673588;	0.094274916720;	1.073695064657;	23.587621081906
15;	1.178547965072;	-0.151796068619;	0.005123793805;	1.086898564162;	92.196011478080
16;	0.959513296620;	0.162279610410;	0.184765061625;	1.004422037680;	44.590128710229
17;	0.965987965291;	-0.025891356981;	0.078331589011;	1.028349172864;	2.456547362330
18;	1.007073955669;	-0.140708912864;	0.123842589993;	1.172210756088;	54.534321935011
19;	0.890430642848;	0.107617369763;	-0.070588880101;	0.901277568218;	Penetrable-detFmicro
20;	1.158318867150;	0.192979497116;	0.171233601899;	0.989391250057;	67.365030974168
