############################ MICRO SIMULATION INFORMATION ##################################
No		F11		F12		F21		F22		Energy
0;	0.976849588042;	0.231403854948;	0.343385239578;	1.060102188374;	8.158814188958
1;	1.096410816409;	-0.418198729996;	0.385751354695;	0.957855337790;	4.481203527706
2;	1.085935318172;	-0.153331925204;	-0.125227552629;	0.998121512382;	2.422736280121
3;	0.988431444768;	0.045387189949;	0.398827063692;	0.987330399325;	4.829158590968
4;	0.988129030509;	0.289983410301;	0.140899242387;	0.976777719631;	5.031492083216
5;	1.042054995062;	0.263620948653;	0.429320392723;	1.060818101654;	11.341403869446
6;	0.984936681678;	-0.196078545772;	-0.281461322927;	0.928512914324;	7.978335563101
7;	0.932168968004;	-0.060573872660;	-0.159487011938;	1.037149098695;	1.611852699222
8;	0.947985490228;	0.018677229513;	0.158689933889;	1.015575162432;	1.028486051582
9;	0.908450938468;	-0.400658508196;	0.444542661605;	0.928317886974;	0.102936265094
10;	0.911658365001;	0.278656852689;	0.382623449699;	0.906153259761;	Penetrable-detFmicro
11;	1.051396011698;	0.210130588666;	-0.493237625876;	0.983276268389;	3.807675043749
12;	0.986617827101;	0.060150816833;	0.329641239594;	1.049400784829;	3.662783807455
13;	0.950608846406;	-0.377750424596;	-0.005090103381;	1.022464413392;	3.674385129748
14;	1.035498686632;	-0.096792129278;	-0.076562283797;	0.902967464296;	1.767718437846
15;	1.075625778587;	-0.203419767426;	0.017317619155;	0.951467722687;	1.260482614671
16;	1.093939159745;	0.416785556642;	0.210426514412;	0.945353036669;	10.139067160379
17;	1.075089215221;	-0.169942716505;	0.432098698941;	0.975850668278;	3.322029498038
18;	1.044828171457;	-0.260615279759;	-0.354836135931;	0.922654361201;	Penetrable-detFmicro
19;	0.931132870022;	0.071466902531;	-0.306824458144;	1.026536949534;	1.560588737481
################################ END OF FILE ################################################
